,x,y,Celltype,Celltype_asNumeric,Epithelium,Epithelium_asNumeric,CD4,CD4_asNumeric
0,238.5,32.25,T Helper Cell,5,Negative,0,5.785226,5.785226
1,238.0,39.0,T Helper Cell,5,Negative,0,12.998006,12.998006
2,216.75,40.25,T Helper Cell,5,Negative,0,10.423118,10.423118
3,230.5,39.25,T Helper Cell,5,Negative,0,14.580863,14.580863
4,257.5,40.75,T Helper Cell,5,Negative,0,6.421545,6.421545
5,239.75,46.75,T Helper Cell,5,Negative,0,3.754366,3.754366
6,250.5,48.5,T Helper Cell,5,Negative,0,8.470904,8.470904
7,235.25,48.0,T Helper Cell,5,Negative,0,5.478893,5.478893
8,228.25,47.75,T Helper Cell,5,Negative,0,11.831022,11.831022
9,203.0,50.75,T Helper Cell,5,Negative,0,9.492944,9.492944
10,213.0,50.25,T Helper Cell,5,Negative,0,13.130137,13.130137
11,222.25,50.75,T Helper Cell,5,Negative,0,7.760431,7.760431
12,268.75,50.5,T Helper Cell,5,Negative,0,18.363476,18.363476
13,261.5,51.25,T Helper Cell,5,Negative,0,5.435296,5.435296
14,278.75,51.5,T Helper Cell,5,Negative,0,7.253369,7.253369
15,191.5,51.25,T Helper Cell,5,Negative,0,6.174565,6.174565
16,183.0,53.0,T Helper Cell,5,Negative,0,12.48677,12.48677
17,177.25,58.5,T Helper Cell,5,Negative,0,7.460287,7.460287
18,199.75,62.75,T Helper Cell,5,Negative,0,6.270667,6.270667
19,190.0,60.75,T Helper Cell,5,Negative,0,8.193424,8.193424
20,269.0,61.75,T Helper Cell,5,Negative,0,8.604514,8.604514
21,211.75,63.0,T Helper Cell,5,Negative,0,8.574835,8.574835
22,283.0,66.0,T Helper Cell,5,Negative,0,8.701271,8.701271
23,223.0,62.0,T Helper Cell,5,Negative,0,8.104103,8.104103
24,248.5,63.0,T Helper Cell,5,Negative,0,3.773521,3.773521
25,260.25,63.25,T Helper Cell,5,Negative,0,3.783253,3.783253
26,172.75,70.25,T Helper Cell,5,Negative,0,3.747677,3.747677
27,291.75,72.0,T Helper Cell,5,Negative,0,8.61925,8.61925
28,236.75,69.0,T Helper Cell,5,Negative,0,8.51117,8.51117
29,244.5,69.25,T Helper Cell,5,Negative,0,5.810289,5.810289
30,182.25,72.75,T Helper Cell,5,Negative,0,3.969238,3.969238
31,260.25,76.5,T Helper Cell,5,Negative,0,9.603598,9.603598
32,270.5,74.0,T Helper Cell,5,Negative,0,4.585925,4.585925
33,209.25,74.75,T Helper Cell,5,Negative,0,7.075676,7.075676
34,201.0,75.0,T Helper Cell,5,Negative,0,4.87616,4.87616
35,216.0,73.75,T Helper Cell,5,Negative,0,6.646062,6.646062
36,302.25,76.75,T Helper Cell,5,Negative,0,11.962118,11.962118
37,157.75,73.75,T Helper Cell,5,Negative,0,3.034558,3.034558
38,248.0,76.0,T Helper Cell,5,Negative,0,9.548786,9.548786
39,222.25,78.75,T Helper Cell,5,Negative,0,4.569857,4.569857
40,235.0,77.0,T Helper Cell,5,Negative,0,6.318357,6.318357
41,199.5,82.75,T Helper Cell,5,Negative,0,8.519313,8.519313
42,282.5,79.0,T Helper Cell,5,Negative,0,3.858851,3.858851
43,318.25,82.75,T Helper Cell,5,Negative,0,8.127311,8.127311
44,172.5,80.5,T Helper Cell,5,Negative,0,3.726122,3.726122
45,148.5,82.5,T Helper Cell,5,Negative,0,5.442385,5.442385
46,214.5,81.75,T Helper Cell,5,Negative,0,9.915623,9.915623
47,189.75,84.0,T Helper Cell,5,Negative,0,4.815385,4.815385
48,267.5,82.0,T Helper Cell,5,Negative,0,12.211642,12.211642
49,233.5,84.0,T Helper Cell,5,Negative,0,10.035083,10.035083
50,289.75,82.75,T Helper Cell,5,Negative,0,4.387854,4.387854
51,169.25,85.75,T Helper Cell,5,Negative,0,6.390848,6.390848
52,207.5,83.75,T Helper Cell,5,Negative,0,10.022121,10.022121
53,245.25,85.5,T Helper Cell,5,Negative,0,18.477888,18.477888
54,274.25,86.5,T Helper Cell,5,Negative,0,8.248277,8.248277
55,256.0,84.25,T Helper Cell,5,Negative,0,3.928531,3.928531
56,226.0,85.25,T Helper Cell,5,Negative,0,11.032449,11.032449
57,301.25,88.75,T Helper Cell,5,Negative,0,6.66463,6.66463
58,335.5,90.75,T Helper Cell,5,Negative,0,6.886712,6.886712
59,141.0,88.0,T Helper Cell,5,Negative,0,10.707852,10.707852
60,280.0,89.0,T Helper Cell,5,Negative,0,5.956403,5.956403
61,157.25,90.0,T Helper Cell,5,Negative,0,3.398553,3.398553
62,148.75,93.25,T Helper Cell,5,Negative,0,10.673861,10.673861
63,246.75,91.75,T Helper Cell,5,Negative,0,12.996157,12.996157
64,265.25,91.25,T Helper Cell,5,Negative,0,10.051933,10.051933
65,210.25,94.0,T Helper Cell,5,Negative,0,4.70374,4.70374
66,288.0,91.0,T Helper Cell,5,Negative,0,3.666029,3.666029
67,204.0,91.5,T Helper Cell,5,Negative,0,8.761754,8.761754
68,257.0,92.0,T Helper Cell,5,Negative,0,6.922521,6.922521
69,134.5,94.25,T Helper Cell,5,Negative,0,16.459677,16.459677
70,165.25,94.25,T Helper Cell,5,Negative,0,6.350545,6.350545
71,319.0,93.5,T Helper Cell,5,Negative,0,8.507537,8.507537
