,x,y,Celltype,Celltype_asNumeric,Epithelium,Epithelium_asNumeric,CD4,CD4_asNumeric
3648,514.5,591.0,Epithelium,1,Positive,1,0.821231,0.821231
3649,322.25,590.5,Epithelium,1,Positive,1,1.56582,1.56582
3650,370.5,591.75,Epithelium,1,Positive,1,0.187038,0.187038
3651,402.75,591.0,Epithelium,1,Positive,1,0.194611,0.194611
3652,267.25,593.5,Epithelium,1,Positive,1,0.660285,0.660285
3653,398.5,594.25,Epithelium,1,Positive,1,0.355198,0.355198
3654,353.5,597.75,Epithelium,1,Positive,1,0.536598,0.536598
3655,388.5,599.75,Epithelium,1,Positive,1,0.338699,0.338699
3656,436.25,596.5,Epithelium,1,Positive,1,0.577128,0.577128
3657,278.25,598.0,Epithelium,1,Positive,1,0.573889,0.573889
3658,377.25,597.5,Epithelium,1,Positive,1,0.25632,0.25632
3659,559.5,598.25,Epithelium,1,Positive,1,0.420006,0.420006
3660,366.75,602.0,Epithelium,1,Positive,1,0.20392,0.20392
3661,372.0,601.0,Epithelium,1,Positive,1,0.240672,0.240672
3662,423.0,599.0,Epithelium,1,Positive,1,0.382765,0.382765
3663,569.75,599.5,Epithelium,1,Positive,1,1.109065,1.109065
3664,293.75,601.25,Epithelium,1,Positive,1,0.515337,0.515337
3665,519.25,601.5,Epithelium,1,Positive,1,1.090612,1.090612
3666,607.5,599.5,Epithelium,1,Positive,1,0.75262,0.75262
3667,447.0,601.25,Epithelium,1,Positive,1,0.69841,0.69841
3668,616.0,601.75,Epithelium,1,Positive,1,0.96497,0.96497
3669,322.0,603.25,Epithelium,1,Positive,1,2.077581,2.077581
3670,633.5,603.75,Epithelium,1,Positive,1,1.562377,1.562377
3671,429.5,604.25,Epithelium,1,Positive,1,0.561975,0.561975
3672,464.5,604.25,Epithelium,1,Positive,1,3.307057,3.307057
3673,509.5,602.75,Epithelium,1,Positive,1,1.792618,1.792618
3674,528.0,606.5,Epithelium,1,Positive,1,0.58464,0.58464
3675,475.0,605.5,Epithelium,1,Positive,1,0.642478,0.642478
3676,603.25,606.0,Epithelium,1,Positive,1,1.384351,1.384351
3677,643.25,605.5,Epithelium,1,Positive,1,0.692776,0.692776
3678,272.75,607.0,Epithelium,1,Positive,1,0.490903,0.490903
3679,309.75,608.25,Epithelium,1,Positive,1,0.755603,0.755603
3680,593.75,607.75,Epithelium,1,Positive,1,0.495045,0.495045
3681,455.25,610.0,Epithelium,1,Positive,1,2.731814,2.731814
3682,503.25,610.75,Epithelium,1,Positive,1,1.054097,1.054097
3683,647.0,610.25,Epithelium,1,Positive,1,0.693696,0.693696
3684,610.25,611.0,Epithelium,1,Positive,1,1.172368,1.172368
3685,440.5,610.75,Epithelium,1,Positive,1,0.833679,0.833679
3686,519.5,615.25,Epithelium,1,Positive,1,1.042568,1.042568
3687,472.25,614.5,Epithelium,1,Positive,1,1.055667,1.055667
3688,554.5,617.75,Epithelium,1,Positive,1,1.005018,1.005018
3689,621.5,615.0,Epithelium,1,Positive,1,0.921508,0.921508
3690,510.75,614.5,Epithelium,1,Positive,1,0.899007,0.899007
3691,464.0,616.25,Epithelium,1,Positive,1,1.794701,1.794701
3692,333.5,616.25,Epithelium,1,Positive,1,0.584521,0.584521
3693,436.0,617.0,Epithelium,1,Positive,1,0.609216,0.609216
3694,341.75,616.25,Epithelium,1,Positive,1,0.559562,0.559562
3695,401.75,616.5,Epithelium,1,Positive,1,0.552838,0.552838
3696,478.75,616.25,Epithelium,1,Positive,1,1.338499,1.338499
3697,530.5,615.0,Epithelium,1,Positive,1,0.492843,0.492843
3698,575.25,618.75,Epithelium,1,Positive,1,1.764041,1.764041
3699,582.5,619.0,Epithelium,1,Positive,1,1.228734,1.228734
