,x,y,Celltype,Celltype_asNumeric,Epithelium,Epithelium_asNumeric,CD4,CD4_asNumeric
76,279.25,163.75,T Helper Cell,5,Negative,0,3.404031,3.404031
77,239.5,167.0,T Helper Cell,5,Negative,0,5.69391,5.69391
78,415.75,170.75,T Helper Cell,5,Negative,0,3.252446,3.252446
79,282.5,169.0,T Helper Cell,5,Negative,0,10.7385,10.7385
80,252.5,168.75,T Helper Cell,5,Negative,0,13.460319,13.460319
81,263.25,171.75,T Helper Cell,5,Negative,0,4.321795,4.321795
82,278.75,175.5,T Helper Cell,5,Negative,0,5.327201,5.327201
83,254.5,178.25,T Helper Cell,5,Negative,0,4.307196,4.307196
84,236.0,177.75,T Helper Cell,5,Negative,0,6.673883,6.673883
85,419.25,180.25,T Helper Cell,5,Negative,0,5.279882,5.279882
86,243.25,182.0,T Helper Cell,5,Negative,0,16.016262,16.016262
87,435.5,188.75,T Helper Cell,5,Negative,0,7.848321,7.848321
88,423.0,188.0,T Helper Cell,5,Negative,0,6.344102,6.344102
89,243.75,190.5,T Helper Cell,5,Negative,0,11.490794,11.490794
90,241.0,195.0,T Helper Cell,5,Negative,0,11.955879,11.955879
91,252.5,200.5,T Helper Cell,5,Negative,0,4.345453,4.345453
92,433.5,199.25,T Helper Cell,5,Negative,0,3.649888,3.649888
93,243.5,202.75,T Helper Cell,5,Negative,0,7.594842,7.594842
94,440.25,205.0,T Helper Cell,5,Negative,0,8.598129,8.598129
95,431.5,210.5,T Helper Cell,5,Negative,0,4.80841,4.80841
96,427.5,217.75,T Helper Cell,5,Negative,0,4.120691,4.120691
97,225.75,220.75,T Helper Cell,5,Negative,0,3.176852,3.176852
98,235.75,226.5,T Helper Cell,5,Negative,0,5.997674,5.997674
99,459.5,227.5,T Helper Cell,5,Negative,0,6.510433,6.510433
100,468.25,230.25,T Helper Cell,5,Negative,0,5.063975,5.063975
101,239.25,236.0,T Helper Cell,5,Negative,0,3.778678,3.778678
102,473.0,240.75,T Helper Cell,5,Negative,0,6.764215,6.764215
103,230.5,245.75,T Helper Cell,5,Negative,0,14.768655,14.768655
104,227.25,253.5,T Helper Cell,5,Negative,0,17.921764,17.921764
105,250.75,258.75,T Helper Cell,5,Negative,0,7.455037,7.455037
106,458.0,259.5,T Helper Cell,5,Negative,0,4.411259,4.411259
107,219.0,262.0,T Helper Cell,5,Negative,0,19.416899,19.416899
108,229.0,267.0,T Helper Cell,5,Negative,0,16.781113,16.781113
109,454.25,266.5,T Helper Cell,5,Negative,0,15.598538,15.598538
110,443.5,270.0,T Helper Cell,5,Negative,0,9.53376,9.53376
111,215.75,268.25,T Helper Cell,5,Negative,0,19.21474,19.21474
112,220.25,275.0,T Helper Cell,5,Negative,0,23.658382,23.658382
113,451.0,275.75,T Helper Cell,5,Negative,0,19.264767,19.264767
114,211.25,275.75,T Helper Cell,5,Negative,0,7.534741,7.534741
115,227.0,280.25,T Helper Cell,5,Negative,0,7.005867,7.005867
116,197.0,279.25,T Helper Cell,5,Negative,0,6.722795,6.722795
117,191.25,277.25,T Helper Cell,5,Negative,0,4.141129,4.141129
118,445.5,282.25,T Helper Cell,5,Negative,0,3.513631,3.513631
119,449.5,288.25,T Helper Cell,5,Negative,0,4.908978,4.908978
120,215.0,285.25,T Helper Cell,5,Negative,0,7.103314,7.103314
121,202.5,289.0,T Helper Cell,5,Negative,0,16.281628,16.281628
122,174.5,287.75,T Helper Cell,5,Negative,0,3.548443,3.548443
123,267.5,287.25,T Helper Cell,5,Negative,0,5.878579,5.878579
124,213.0,292.75,T Helper Cell,5,Negative,0,5.116788,5.116788
125,249.5,296.5,T Helper Cell,5,Negative,0,10.30528,10.30528
