,x,y,Celltype,Celltype_asNumeric,Epithelium,Epithelium_asNumeric,CD4,CD4_asNumeric
0,667.5,0.25,T Helper Cell,5,Negative,0,4.018124,4.018124
1,614.0,2.75,T Helper Cell,5,Negative,0,6.498322,6.498322
2,653.75,7.0,T Helper Cell,5,Negative,0,4.286405,4.286405
3,567.5,25.75,T Helper Cell,5,Negative,0,12.283015,12.283015
4,565.5,33.75,T Helper Cell,5,Negative,0,5.51915,5.51915
5,580.75,30.0,T Helper Cell,5,Negative,0,10.43971,10.43971
6,509.5,32.0,T Helper Cell,5,Negative,0,10.023919,10.023919
7,530.25,39.75,T Helper Cell,5,Negative,0,3.585808,3.585808
8,642.75,38.5,T Helper Cell,5,Negative,0,3.225996,3.225996
9,630.0,54.0,T Helper Cell,5,Negative,0,15.034969,15.034969
10,633.5,63.5,T Helper Cell,5,Negative,0,11.359712,11.359712
11,647.5,65.0,T Helper Cell,5,Negative,0,3.948477,3.948477
12,497.5,69.0,T Helper Cell,5,Negative,0,3.541084,3.541084
13,642.25,71.5,T Helper Cell,5,Negative,0,18.11239,18.11239
14,494.5,75.5,T Helper Cell,5,Negative,0,6.575968,6.575968
15,618.5,77.0,T Helper Cell,5,Negative,0,4.888647,4.888647
16,635.5,78.0,T Helper Cell,5,Negative,0,6.624701,6.624701
17,648.75,77.0,T Helper Cell,5,Negative,0,4.494651,4.494651
18,630.25,84.25,T Helper Cell,5,Negative,0,3.689759,3.689759
19,531.0,87.75,T Helper Cell,5,Negative,0,5.325528,5.325528
20,651.75,85.25,T Helper Cell,5,Negative,0,11.957561,11.957561
21,616.75,91.0,T Helper Cell,5,Negative,0,7.511013,7.511013
22,569.75,98.75,T Helper Cell,5,Negative,0,9.312455,9.312455
23,548.75,100.0,T Helper Cell,5,Negative,0,5.972191,5.972191
24,637.25,102.75,T Helper Cell,5,Negative,0,6.841635,6.841635
25,552.0,106.0,T Helper Cell,5,Negative,0,4.491168,4.491168
26,631.25,104.75,T Helper Cell,5,Negative,0,4.747048,4.747048
27,659.25,117.25,T Helper Cell,5,Negative,0,4.416632,4.416632
28,395.25,118.25,T Helper Cell,5,Negative,0,6.675654,6.675654
29,543.25,120.75,T Helper Cell,5,Negative,0,3.522903,3.522903
30,637.5,120.25,T Helper Cell,5,Negative,0,7.399339,7.399339
31,562.5,125.5,T Helper Cell,5,Negative,0,9.475855,9.475855
32,648.5,127.25,T Helper Cell,5,Negative,0,5.64001,5.64001
33,658.75,128.0,T Helper Cell,5,Negative,0,4.043918,4.043918
34,550.25,130.5,T Helper Cell,5,Negative,0,10.327256,10.327256
35,682.5,136.25,T Helper Cell,5,Negative,0,8.264639,8.264639
36,651.5,138.25,T Helper Cell,5,Negative,0,15.525606,15.525606
37,694.0,138.25,T Helper Cell,5,Negative,0,5.089263,5.089263
38,676.0,142.75,T Helper Cell,5,Negative,0,4.840068,4.840068
39,609.25,142.75,T Helper Cell,5,Negative,0,6.046638,6.046638
40,656.0,149.25,T Helper Cell,5,Negative,0,5.857173,5.857173
41,643.0,149.75,T Helper Cell,5,Negative,0,7.440416,7.440416
42,680.0,204.5,T Helper Cell,5,Negative,0,15.203554,15.203554
43,692.25,213.25,T Helper Cell,5,Negative,0,4.880926,4.880926
44,675.5,232.25,T Helper Cell,5,Negative,0,5.911648,5.911648
45,669.25,238.0,T Helper Cell,5,Negative,0,5.548732,5.548732
46,495.75,241.75,T Helper Cell,5,Negative,0,6.463629,6.463629
47,766.25,278.75,T Helper Cell,5,Negative,0,4.233676,4.233676
48,641.75,284.5,T Helper Cell,5,Negative,0,6.982022,6.982022
49,526.25,293.5,T Helper Cell,5,Negative,0,4.33998,4.33998
50,779.5,296.25,T Helper Cell,5,Negative,0,3.619883,3.619883
51,522.5,300.25,T Helper Cell,5,Negative,0,6.366873,6.366873
52,487.25,328.5,T Helper Cell,5,Negative,0,11.487853,11.487853
53,475.0,335.0,T Helper Cell,5,Negative,0,4.185893,4.185893
54,238.25,50.0,T Helper Cell,5,Negative,0,6.834024,6.834024
55,271.5,50.25,T Helper Cell,5,Negative,0,3.519485,3.519485
56,287.75,64.0,T Helper Cell,5,Negative,0,3.20041,3.20041
57,289.0,137.75,T Helper Cell,5,Negative,0,4.498967,4.498967
58,254.25,141.25,T Helper Cell,5,Negative,0,3.419433,3.419433
59,292.5,143.75,T Helper Cell,5,Negative,0,3.816716,3.816716
60,223.5,153.0,T Helper Cell,5,Negative,0,3.098316,3.098316
61,321.0,199.25,T Helper Cell,5,Negative,0,3.099019,3.099019
62,312.25,209.25,T Helper Cell,5,Negative,0,3.453695,3.453695
63,277.25,225.75,T Helper Cell,5,Negative,0,3.169303,3.169303
64,315.25,233.25,T Helper Cell,5,Negative,0,5.04316,5.04316
65,312.25,241.0,T Helper Cell,5,Negative,0,16.846643,16.846643
66,322.5,241.25,T Helper Cell,5,Negative,0,4.463802,4.463802
67,309.25,247.25,T Helper Cell,5,Negative,0,4.732193,4.732193
68,858.5,3.5,T Helper Cell,5,Negative,0,8.845628,8.845628
69,882.0,35.75,T Helper Cell,5,Negative,0,4.444455,4.444455
70,836.0,40.25,T Helper Cell,5,Negative,0,3.442838,3.442838
71,893.5,42.5,T Helper Cell,5,Negative,0,8.715506,8.715506
72,901.0,75.25,T Helper Cell,5,Negative,0,3.010206,3.010206
73,988.25,78.75,T Helper Cell,5,Negative,0,4.168736,4.168736
74,976.0,87.5,T Helper Cell,5,Negative,0,10.495375,10.495375
75,987.75,88.25,T Helper Cell,5,Negative,0,3.884761,3.884761
76,911.25,90.0,T Helper Cell,5,Negative,0,10.055846,10.055846
77,963.25,93.75,T Helper Cell,5,Negative,0,12.884789,12.884789
78,957.5,99.5,T Helper Cell,5,Negative,0,6.801938,6.801938
79,978.25,99.25,T Helper Cell,5,Negative,0,3.498348,3.498348
80,947.5,105.25,T Helper Cell,5,Negative,0,11.139082,11.139082
81,945.5,112.5,T Helper Cell,5,Negative,0,8.391114,8.391114
82,965.0,112.75,T Helper Cell,5,Negative,0,4.10292,4.10292
83,921.25,122.75,T Helper Cell,5,Negative,0,10.877903,10.877903
84,999.25,248.75,T Helper Cell,5,Negative,0,14.210578,14.210578
85,874.5,254.75,T Helper Cell,5,Negative,0,8.142494,8.142494
86,984.5,255.0,T Helper Cell,5,Negative,0,6.71944,6.71944
87,973.0,268.25,T Helper Cell,5,Negative,0,4.230691,4.230691
88,993.75,268.75,T Helper Cell,5,Negative,0,10.150166,10.150166
89,984.25,269.75,T Helper Cell,5,Negative,0,4.944096,4.944096
90,1000.0,271.25,T Helper Cell,5,Negative,0,4.921375,4.921375
91,790.0,307.75,T Helper Cell,5,Negative,0,7.26003,7.26003
92,798.25,313.75,T Helper Cell,5,Negative,0,9.492005,9.492005
93,879.25,345.25,T Helper Cell,5,Negative,0,8.597191,8.597191
94,867.75,359.75,T Helper Cell,5,Negative,0,8.740045,8.740045
95,978.75,392.5,T Helper Cell,5,Negative,0,3.819207,3.819207
96,799.75,431.75,T Helper Cell,5,Negative,0,7.737556,7.737556
97,825.75,496.5,T Helper Cell,5,Negative,0,3.511849,3.511849
98,831.0,503.75,T Helper Cell,5,Negative,0,4.964958,4.964958
99,822.0,504.0,T Helper Cell,5,Negative,0,4.92523,4.92523
100,933.75,516.0,T Helper Cell,5,Negative,0,3.862205,3.862205
101,912.25,517.75,T Helper Cell,5,Negative,0,3.168832,3.168832
102,922.25,518.75,T Helper Cell,5,Negative,0,3.724386,3.724386
103,822.0,521.25,T Helper Cell,5,Negative,0,5.051784,5.051784
104,836.25,579.0,T Helper Cell,5,Negative,0,11.286352,11.286352
105,858.25,579.75,T Helper Cell,5,Negative,0,7.657294,7.657294
106,828.75,586.25,T Helper Cell,5,Negative,0,10.4607,10.4607
107,871.0,584.25,T Helper Cell,5,Negative,0,10.181998,10.181998
108,880.25,586.25,T Helper Cell,5,Negative,0,16.713137,16.713137
109,887.5,591.75,T Helper Cell,5,Negative,0,8.905509,8.905509
110,817.0,604.75,T Helper Cell,5,Negative,0,6.226231,6.226231
111,808.25,614.5,T Helper Cell,5,Negative,0,4.610725,4.610725
112,804.5,622.75,T Helper Cell,5,Negative,0,3.781207,3.781207
113,922.75,634.0,T Helper Cell,5,Negative,0,6.96919,6.96919
114,837.25,634.75,T Helper Cell,5,Negative,0,3.116484,3.116484
